dataset_name,suite_role,authoritative_source,mirror_source,source_paper,year,cas_variant,cell_type,sample_count,target_type,official_download_url,file_format,benchmark_ready_flag,reconstruction_required_flag,preprocessing_notes,split_protocol_notes,source_of_record_flag,access_status,access_constraints,source_url_opened
WT,primary,CRISPR_HNN datasets repo,DeepHF repo,Wang et al. 2019,2019,SpCas9 WT,Multiple,55603,normalized indel frequency,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets,CSV,true,false,23nt guide+PAM; min-max normalized indel frequency,canonical 5-fold CV on public benchmark,false,live,none,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets
ESP,primary,CRISPR_HNN datasets repo,DeepHF repo,Wang et al. 2019,2019,eSpCas9(1.1),Multiple,58616,normalized indel frequency,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets,CSV,true,false,23nt guide+PAM; min-max normalized indel frequency,canonical 5-fold CV on public benchmark,false,live,none,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets
HF,primary,CRISPR_HNN datasets repo,DeepHF repo,Wang et al. 2019,2019,SpCas9-HF1,Multiple,56887,normalized indel frequency,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets,CSV,true,false,23nt guide+PAM; min-max normalized indel frequency,canonical 5-fold CV on public benchmark,false,live,none,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets
xCas9,primary,CRISPR_HNN datasets repo,Kim et al. 2020 supplement,Kim et al. 2020,2020,xCas9,HEK293T library,37738,normalized indel frequency,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets,CSV,true,false,23nt benchmark format reconstructed from 30nt source context,canonical 5-fold CV on public benchmark,false,live,supplement access for authoritative raw tables,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets
SpCas9-NG,primary,CRISPR_HNN datasets repo,Kim et al. 2020 supplement,Kim et al. 2020,2020,SpCas9-NG,HEK293T library,30585,normalized indel frequency,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets,CSV,true,false,23nt benchmark format reconstructed from 30nt source context,canonical 5-fold CV on public benchmark,false,live,supplement access for authoritative raw tables,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets
Sniper-Cas9,primary,CRISPR_HNN datasets repo,Kim et al. 2020 supplement,Kim et al. 2020,2020,Sniper-Cas9,HEK293T library,37794,normalized indel frequency,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets,CSV,true,false,23nt benchmark format reconstructed from 30nt source context,canonical 5-fold CV on public benchmark,false,live,supplement access for authoritative raw tables,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets
HCT116,primary,CRISPR_HNN datasets repo,Hart et al. 2015 supplement,Hart et al. 2015,2015,SpCas9,HCT116,4239,fitness/indel proxy,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets,CSV,true,false,23nt guide+PAM; benchmark-ready reprocessed table,canonical 5-fold CV on public benchmark,false,live,supplement access for authoritative raw tables,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets
HELA,primary,CRISPR_HNN datasets repo,Hart et al. 2015 supplement,Hart et al. 2015,2015,SpCas9,HeLa,8101,fitness/indel proxy,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets,CSV,true,false,23nt guide+PAM; benchmark-ready reprocessed table,canonical 5-fold CV on public benchmark,false,live,supplement access for authoritative raw tables,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets
HL60,primary,CRISPR_HNN datasets repo,Wang et al. 2014 supplement,Wang et al. 2014,2014,SpCas9,HL60,2076,normalized indel frequency,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets,CSV,true,false,23nt guide+PAM; benchmark-ready reprocessed table,canonical 5-fold CV on public benchmark,false,live,supplement access for authoritative raw tables,https://github.com/xx0220/CRISPR_HNN/tree/main/datasets
DeepSpCas9_train,secondary,Kim et al. 2019 supplement,SRA SRP150719,Kim et al. 2019,2019,SpCas9,HEK293T library,12832,indel frequency,https://doi.org/10.1126/sciadv.aax9249,supplement table,false,true,30nt context sequence; one-hot 4x30 in original model,benchmark-specific train/test split from DeepSpCas9 paper,true,live,supplement extraction required,https://pmc.ncbi.nlm.nih.gov/articles/PMC6834390/
CRISPRon_combined,secondary,Xiang et al. 2021 supplement,RTH-tools/crispron repo,Xiang et al. 2021,2021,SpCas9,Multiple,23902,indel frequency,https://doi.org/10.1038/s41467-021-23576-0,supplement table,false,true,30nt context sequence with deltaG feature,CRISPRon-specific training split; not canonical 9-dataset regime,true,live,supplement extraction required,https://doi.org/10.1038/s41467-021-23576-0
Doench_V1_2014,secondary,Broad CRISPick,CRISPOR effData,Doench et al. 2014,2014,SpCas9,Multiple human and mouse,1831,activity score,https://portals.broadinstitute.org/gppx/crispick/public,CSV/TSV,true,false,activity score labels from original study,legacy external hold-out evaluations; not canonical 9-dataset regime,true,live,public portal may require browser export,https://portals.broadinstitute.org/gppx/crispick/public
Doench_V2_A375_2016,secondary,Nature supplement STable 4,CRISPOR effData,Doench et al. 2016,2016,SpCas9,A375,2549,activity score,https://images.nature.com/original/nature-assets/nbt/journal/v34/n2/extref/nbt.3437-S2.zip,XLSX/TSV,true,false,30nt context sequences; widely mirrored in CRISPOR effData,legacy external hold-out evaluations; not canonical 9-dataset regime,true,live,large supplement zip,https://www.nature.com/articles/nbt.3437#Sec24
sgDesigner,secondary,sgDesigner repo,dagrate public_data_crisprCas9,Hiranniramol et al. 2020,2020,SpCas9,HEK293T,12472,indel frequency,https://github.com/wang-lab/sgDesigner,CSV,true,false,processed benchmark-ready table in dagrate mirror,study-specific split; secondary evidence only,true,live,none,https://github.com/dagrate/public_data_crisprCas9/tree/main/data/sgDesigner
Koike-Yusa_mouse,secondary,ENA PRJEB4038,None,Koike-Yusa et al. 2014,2014,SpCas9,Mouse ES cells,87897,fitness score,https://www.ebi.ac.uk/ena/browser/view/PRJEB4038,FASTQ/derived tables,false,true,raw sequencing primary source; derived fitness tables must be reconstructed,study-specific split; secondary evidence only,true,live,raw read processing required,https://www.ebi.ac.uk/ena/browser/view/PRJEB4038
